"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.133333333333333,500,TRUE,1,0.268287203209202,"default",0.483241388744135,0.436355523668931,0.624820375074455,0.597172999472758,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
1,0.266666666666667,983,FALSE,0.703,0,"optimal default",0.499155040904742,0.420095722942234,0.66989042913513,0.630022615332941,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
1,0.786008985247463,1454,TRUE,0.520223373849876,0.814865440828726,"random search",0.336935902385684,0.317615868443122,0.420995600329677,0.420095237397896,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
2,0.518669536104426,703,TRUE,0.502191708679311,0.72992613306269,"random search",0.389088016684536,0.362905431105769,0.499628319462017,0.49194138117116,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
3,0.513675695518032,1155,FALSE,0.446291707409546,0.854921321151778,"random search",-0.524552826592312,-0.00654252444718839,0.356513412632282,0.384201568107718,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
4,0.936813241802156,1048,TRUE,0.105583053687587,0.996095611946657,"random search",-0.499573669362495,-0.00657831057928959,-0.304014958329169,-0.0096119453571728,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
5,0.103466978529468,311,FALSE,0.443099952861667,0.507287081098184,"random search",0.419887630208163,0.40115139919658,0.515879073971679,0.515574880511776,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
6,0.259647499304265,1522,FALSE,0.282528573297895,0.902731533627957,"random search",-0.518356095285889,-0.00544457237183016,-0.431263969873792,-0.00917377090011673,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
7,0.34344283817336,918,TRUE,0.619649744592607,0.32395284017548,"random search",0.490216080258762,0.441240246437477,0.604208670384346,0.579417937057055,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
8,0.57906945166178,643,TRUE,0.807691484526731,0.75963179836981,"random search",0.438838239476944,0.394870827903286,0.552785807950928,0.541917309187669,0.11166253101737,0.00291545189504373,0.00119640276974977,8.95555555555556,45,0,5,343,403,40,0.145937609746354,0.13265258897104,0.538845563039111,0.0819094019306912,0.32258064516129,0.0789221966468571,0.0796773994442934,0.0125614480338545,0.0104196706229317,0.0355972708308908,0.107011292314377,0.153577701565882,0.197002323724661,0.0487654252047361,0.031742627991991,0.102686032789502,0.000344092743951255,0.00267046574706448,0.208436724565757,0.00496277915632754,0.0238095238095238
